Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade
INDÚSTRIA E COMÉRCIO DE COUROS BRITALI LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
INDUSTRIA E COMERCIO DE FARINHA JAGUA LTDA.,ND,ND,ND,ND,Sub-região 17,Jaguapitã
INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS GELONI LTDA,ND,ND,ND,ND,Sub-região 17,Guaraci
INDUSTRIA E COMÉRCIO DE TINTAS NACIONAL LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
INDUSTRIA E COMERCIO PESCADO ARAPONGAS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
INNOVA FEED COM E REPRES DE ALIMENTOS PARA ALIMENTACAO ANIMAL L,ND,ND,ND,ND,Sub-região 17,Jaguapitã
INNOVARE QUIMICA DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
INQUIMA LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 18,Assaí
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 18,Assaí
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 17,Tamarana
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 18,Uraí
INTERCEMENT BRASIL S/A - EM RECUPERACAO JUDICIAL,ND,ND,ND,ND,Sub-região 17,Cambé
ITAMARATY INDUSTRIA COMERCIO S A,ND,ND,ND,ND,Sub-região 17,Rolândia
ITAP BEMIS LTDA UNIDADE CAMBE,ND,ND,ND,ND,Sub-região 17,Cambé
J R F DE ANDRADE NETO IND E COMERCIO DE OLEOS LTDA,ND,ND,ND,ND,Sub-região 17,Prado Ferreira
JAGUAFRANGOS IND COM ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Jaguapitã
JAGUAFRANGOS IND COM ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Jaguapitã
JAGUAFRANGOS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
JBO INDUSTRIA MECANICA LTDA,ND,ND,ND,ND,Sub-região 18,Assaí
JOELINI IND DE PRODUTOS PLASTICOS E METAIS LTDA ME,ND,ND,ND,ND,Sub-região 16,Arapongas
JUMBO TRATAMENTO TÉRMICO IND. MECÂNICA LTDA,ND,ND,ND,ND,Sub-região 18,Assaí
JURUTAU - INDUSTRIA DE COMPONENTES PARA MÓVEIS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
KAPERSUL INDUSTRIA E COMERCIO DE PAPEIS S/A,ND,ND,ND,ND,Sub-região 17,Ibiporã
L.C.A-IND.E COM. DE PRODUTOS ALIMENTICIOS LTDA,ND,ND,ND,ND,Sub-região 17,Sertanópolis
LAGE & RENZETTI LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
LAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 17,Rolândia
LAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 17,Rolândia
LCA - INDUSTRIA E COMERCIO DE PRODUTO ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Sertanópolis
LEOPLAC INDUSTRIA E COMERCIO DE PLACAS E BATERIAS EIRELI - EPP,ND,ND,ND,ND,Sub-região 17,Rolândia
LINEA BRASIL IND E COM DE MOVEIS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
LONGPING HIGH TECH BIOTECNOLOGIA LTDA.,ND,ND,ND,ND,Sub-região 17,Rolândia
LUPOL - COMERCIO DE SUB- PRODUTOS BOVINO LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENTOS,ND,ND,ND,ND,Sub-região 17,Rolândia
M L FAZAN IND E COM DE ETIQUETAS METALICAS LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
MACDERMID OFFSHORE DO BRASIL INDUSTRIA DE FLUIDOS LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
MARP INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
ME GONCALVES INDUSTRIA DE MOVEIS LT DA,ND,ND,ND,ND,Sub-região 17,Rolândia
MERIDIONAL MEAT-IMPORTAÇÃO E EXPORTAÇÃO ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
MESSER GASES LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
METALURGICA ACORES LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
METALURGICA ALBRAS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
MOBLOK INDUSTRIA E COMERCIO LTDA-ME,ND,ND,ND,ND,Sub-região 17,Cambé
MOINHO DE TRIGO ARAPONGAS S A,ND,ND,ND,ND,Sub-região 16,Arapongas
MOINHO GLOBO ALIMENTOS S.A.,ND,ND,ND,ND,Sub-região 17,Sertanópolis
MONSANTO DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
MOVAL MOVEIS ARAPONGAS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
MOVEIS BELO IND COM LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
MOVEIS RHEMA IND COMERCIO LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
MULTIMETAL INDUSTRIA METALURGICA LT DA,ND,ND,ND,ND,Sub-região 17,Cambé
MULTINOVA IND EMBALAGENS PLASTICAS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
NATHYNANA INDUSTRIA E COMERCIO DE BICHOS DE PELUCIA LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
NICIOLI INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
NIPPONUTRI INDUSTRIA E DISTRIBUIDORA DE PRODUTOS NATURAIS,ND,ND,ND,ND,Sub-região 18,Assaí
NITROXY COMERCIO E DISTRIBUICAO S.A,ND,ND,ND,ND,Sub-região 16,Arapongas
NORTOX S/A,ND,ND,ND,ND,Sub-região 16,Arapongas
NPK FERTILIZANTES LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
NUTRASIX INDUSTRIA E COMERCIO DE NUTRACEUTICOS E COSMETICOS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
NUTRI 100 AGRO LTDA,ND,ND,ND,ND,Sub-região 17,Sertanópolis
NUTRIARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
NUTRIARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
NUTRI-STAR - INDUSTRIA E COMERCIO DE PRODUTOS AGROPECUARIOS LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
ORO AGRI BRASIL PRODUTOS PARA AGRICULTURA LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
OTC COMERCIO E FABRICACAO DE FUMOS LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
OVORAMA AGROPECUÁRIA LTDA,ND,ND,ND,ND,,Sabáudia
OXITEC INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
PADO S A INDUSTRIAL COMERCIAL E IMPORTADORA,ND,ND,ND,ND,Sub-região 17,Cambé
PARANATRUZ AGROINDUSTRIAL LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
PARKER-MIGLIORINI INTERNATIONAL DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
PASTIFICIO SELMI SA,ND,ND,ND,ND,Sub-região 17,Rolândia
PENNACCHI & CIA LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
PENNACCHI & CIA LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
PLASTICOS NOVEL DO PARANA LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
PLENART - ENGENHARIA E CONSTRUÇÕES LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
POLIMAN - INDUSTRIA E COMERCIO DE MOVEIS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
PRODUTORA AGRO INDUSTRIAL BALU LTDA - ME,ND,ND,ND,ND,Sub-região 16,Arapongas
PVC BRAZIL IND. DE TUBOS E CONEXOES LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
QUILICI & LIMA INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA LTDA - ME,ND,ND,ND,ND,Sub-região 17,Rolândia
REFRIKO INDUSTRIA E COMÉRCIO DE BEBIDAS LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
REINATA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 18,Uraí
REVESTSUL PRODUTOS QUIMICOS LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
RICOPECAS-COMERCIO DE COMPONENTES ELETRONICOS LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
ROCHA E PRESTES IND COM CONFECCOES LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
ROTA INDUSTRIAL LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
RUAH ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
SANDOZ BRASIL INDUSTRIA FARMACEU TICA LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
SANDOZ DO BRASIL IND FARMACEUTICA L TDA,ND,ND,ND,ND,Sub-região 17,Cambé
SATRON BRASIL INDUSTRIA METAL MECANICA LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
SEARA - IND. E COMERCIO DE PRODUTOS AGRO PECUARIOS,ND,ND,ND,ND,Sub-região 17,Ibiporã
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Jaguapitã
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Jaguapitã
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Jaguapitã
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SEARA ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SEARA IND. E COMERCIO DE PRODUTOS AGRO-PECUARIOS LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
SEARA -IND. E COMERCIO DE PRODUTOS AGRO-PECUARIOS LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
SEARA INDÚSTRIA E COMÉRCIO DE PRODUTOS AGRO-PECUÁRIOS LTDA (SEDE),ND,ND,ND,ND,Sub-região 17,Sertanópolis
SEARA-IND. E COMERCIO DE PRODUTOS AGRO-PECUARIOS LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
SEMEGRAO COMERCIAL AGRICOLA LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
SEMEGRÃO COMERCIAL AGRÍCOLA LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
SILO PANAMA LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SILOMAX INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SIPAL INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
SOLANA AGRO PECUÁRIA LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
SONHART CONFECÇÕES LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SPA NUTRI NUTRICAO E SUPLEMENTOS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
SPAL INDUSTRIA BRASILEIRA DE BEBIDA S/A,ND,ND,ND,ND,Sub-região 17,Cambé
SPECIAL NUTRI INDÚSTRIA E COMÉRCIO DE RAÇÕES LTDA,ND,ND,ND,ND,Sub-região 17,Jaguapitã
SPRAY DROP - PESQUISA DESENVOLV. ASSIST. TÉCNICA AGRO INDUSTRIAL S/S,ND,ND,ND,ND,Sub-região 17,Cambé
"SPRAY DROP-PESQUISAS,DESENVOLVIMENT ASSISTENCIA TEC.AGRO-IND.S/S LTDA",ND,ND,ND,ND,Sub-região 17,Cambé
STAR PLAST IND COM PARANAENSE PLAST LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
SUL AMÉRICA - ARMAZENS GERAIS LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
SUPERFRIO ARMAZENS GERAIS S.A.,ND,ND,ND,ND,Sub-região 16,Arapongas
SUPERFRIO ARMAZENS GERAIS S.A.,ND,ND,ND,ND,Sub-região 17,Cambé
TAMARANA METAIS LTDA,ND,ND,ND,ND,Sub-região 17,Tamarana
TAMARANA TECNOLOGIA E SOLUÇÕES AMBIENTAIS LTDA,ND,ND,ND,ND,Sub-região 17,Tamarana
TECMARCA INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Sub-região 18,Assaí
TRADECORP DO BRASIL COMERCIO DE INSUMOS AGRICOLAS LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
TRUBULATO AGROPECUARIA LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
USINA ALTO ALEGRE S.A - AÇÚCAR E ÁLCOOL,ND,ND,ND,ND,Sub-região 17,Florestópolis
USINA ALTO ALEGRE S/A - AÇUCAR E ÁLCOOL,ND,ND,ND,ND,Sub-região 17,Florestópolis
USINA CENTRAL PARANA S A,ND,ND,ND,ND,Sub-região 17,Porecatu
VALLE MAQUINAS E EQUIPAMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Cambé
VAMOL IND MOVELEIRA LTDA,ND,ND,ND,ND,Sub-região 16,Arapongas
VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA,ND,ND,ND,ND,Sub-região 17,Rolândia
VITAFLEX - INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
VIVA FOODS LTDA,ND,ND,ND,ND,Sub-região 17,Ibiporã
W & R - INDUSTRIA E COMERCIO DE CONFECCOES IMPORTACAO E EXPORTACAO,ND,ND,ND,ND,Sub-região 17,Cambé
YARA BRASIL FERTILIZANTES S/A,ND,ND,ND,ND,Sub-região 17,Cambé
A.R.C. LOGÍSTICA E ALIMENTOS LTDA - ME,ND,ND,ND,ND,,Lobato
ABATEDOURO DE PEIXES SOL NASCENTES LTDA - ME,ND,ND,ND,ND,Sub-região 15,Mandaguaçu
AGRENCO BIOENERGIA INDUSTRIA E COMERCIO DE OLEOS E BIODIESEL LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
AGRÍCOLA JANDELLE S.A.,ND,ND,ND,ND,Sub-região 15,Santa Fé
AGROQUIMICA BRASINHA LTDA,ND,ND,ND,ND,Sub-região 15,Nova Esperança
AGS ARMAZENS GERAIS SUPERIOR LTDA,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
AJROMA ADMINISTRACAO E PARTICIPACOES LTDA,ND,ND,ND,ND,Sub-região 15,Mandaguari
ALCALIM INDUSTRIA QUIMICA - EIRELI - EPP,ND,ND,ND,ND,Sub-região 15,Mandaguari
ALL4LABELS GRAFICA DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
AMBIENTAL SUL BRASIL-CENTRAL REGION DE TRATAMENTO DE RESIDUOS LTDA,ND,ND,ND,ND,Sub-região 15,Sarandi
AQUATRAT INDUSTRIA QUIMICA LTDA,ND,ND,ND,ND,Sub-região 15,Mandaguari
ARCELORMITTAL BRASIL S.A.,ND,ND,ND,ND,Sub-região 15,Sarandi
ARDENGHI ENGENHARIA INDUSTRIAL EIRELI,ND,ND,ND,ND,Sub-região 15,Iguaraçu
AVICOLA AGROINDUSTRIAL SÃO JOSE,ND,ND,ND,ND,Sub-região 15,Santa Fé
AVICOLA AGROINDUSTRIAL SÃO JOSÉ LTD,ND,ND,ND,ND,Sub-região 15,Santa Fé
AVÍCOLA SANTA FÉ AGROINDUSTRIAL LTDA,ND,ND,ND,ND,Sub-região 15,Santa Fé
AVIMAQ FERRAGENS LTDA.,ND,ND,ND,ND,Sub-região 15,Mandaguari
BE8 S.A.,ND,ND,ND,ND,Sub-região 15,Marialva
BELAGRICOLA COMERCIO E REPRESENTACOES DE PRODUTOS AGRICOLA,ND,ND,ND,ND,Sub-região 15,Marialva
BF COMERCIO DE CEREAIS LTDA - ME,ND,ND,ND,ND,Sub-região 15,Mandaguaçu
BIOBRAS BIODIESEL S/A,ND,ND,ND,ND,Sub-região 15,Nova Esperança
BIOLOGICA SUL IND DE MEDICAMENTOS L TDA,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
BMG FOODS IMPORTACAO E EXPORTACAO LTDA,ND,ND,ND,ND,Sub-região 15,Paiçandu
BOI VERDE - INDUSTRIA E COMERCIO DE FARINHA DE CARNE LTDA - ME,ND,ND,ND,ND,Sub-região 15,Nova Esperança
BRENNTAG QUIMICA BRASIL LTDA.,ND,ND,ND,ND,Sub-região 15,Nova Esperança
BSBIOS MARIALVA INDUSTRIA E COMERCI DE BIODISEL SUL BRASIL LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
BTC ENGENHARIA LTDA,ND,ND,ND,ND,Sub-região 15,Mandaguari
C.VALE - COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Doutor Camargo
C.VALE - COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Doutor Camargo
C.VALE - COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Doutor Camargo
C.VALE - COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Floresta
C.VALE - COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,São Jorge do Ivaí
CAFE SENDESKI LTDA,ND,ND,ND,ND,Sub-região 15,Iguaraçu
CARGILL AGRICOLA S A,ND,ND,ND,ND,Sub-região 15,Doutor Camargo
CEREALISTA VITÓRIA LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
CEREALISTA VITÓRIA LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
CHAPEBRAZ INDUSTRIA E COMERCIO DE CHAPEUS LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
CHS AGRONEGOCIO - INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
CIA LATINO AMERICANA DE MEDICAMENTOS,ND,ND,ND,ND,Sub-região 15,Astorga
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,,Ângulo
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Astorga
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Atalaia
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Doutor Camargo
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,,Floraí
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Floresta
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Ivatuba
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Ivatuba
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,,Lobato
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Nova Esperança
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Ourizona
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Paiçandu
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Presidente Castelo Branco
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Santa Fé
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,São Jorge do Ivaí
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,São Jorge do Ivaí
COCARI - COOPERATIVA AGROPECUARIA E INDUSTRIAL,ND,ND,ND,ND,Sub-região 16,Bom Sucesso
COCARI - COOPERATIVA AGROPECUARIA E INDUSTRIAL,ND,ND,ND,ND,Sub-região 16,Cambira
COCARI - COOPERATIVA AGROPECUARIA E INDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Itambé
COCARI - COOPERATIVA AGROPECUARIA E INDUSTRIAL,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
COCARI - COOPERATIVA AGROPECUARIA E INDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Mandaguari
COCARI - COOPERATIVA AGROPECUARIA E INDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Mandaguari
COCARI - COOPERATIVA AGROPECUARIA E INDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Mandaguari
COMPANHIA SULAMERICANA DE DISTRIBUI,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
COMPANHIA SULAMERICANA DE DISTRIBUI,ND,ND,ND,ND,Sub-região 15,Marialva
COMPANHIA SULAMERICANA DE DISTRIBUIÇÃO,ND,ND,ND,ND,Sub-região 15,Mandaguari
COMPANHIA SULAMERICANA DE DISTRIBUIÇÃO,ND,ND,ND,ND,Sub-região 15,Paiçandu
COMPANHIA SULAMERICANA DE DISTRIBUIÇÃO,ND,ND,ND,ND,Sub-região 15,Sarandi
CONESUL INDUSTRIA DE ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 15,Astorga
CONSIGAZ DISTRIBUIDORA DE GAS LTDA.,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
COOP AGROINDUSTRIAL NOVA PRODUTIVA,ND,ND,ND,ND,,Ângulo
COOP AGROINDUSTRIAL NOVA PRODUTIVA,ND,ND,ND,ND,Sub-região 15,Astorga
COOP AGROINDUSTRIAL NOVA PRODUTIVA,ND,ND,ND,ND,,Lobato
COOP AGROINDUSTRIAL NOVA PRODUTIVA,ND,ND,ND,ND,Sub-região 15,Santa Fé
COOPERATIVA AGRARIA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 16,Bom Sucesso
COOPERATIVA AGROINDUSTRIAL NOVA PRO DUTIV,ND,ND,ND,ND,Sub-região 15,Iguaraçu
COOPERATIVA AGROINDUSTRIAL NOVA PRODUTIVA,ND,ND,ND,ND,Sub-região 15,Astorga
COOPERATIVA CENTRAL AURORA ALIMENTOS,ND,ND,ND,ND,Sub-região 15,Mandaguari
COOPERATIVA CENTRAL AURORA ALIMENTOS,ND,ND,ND,ND,Sub-região 15,Mandaguari
COOPERATIVA DE LATICINIOS DE MANDAGUARI LTDA,ND,ND,ND,ND,Sub-região 15,Mandaguari
COOPERVAL COOP. AGROIND. VALE DO IVAÍ LTDA,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
COOPERVAL COOP. AGROIND. VALE DO IVAÍ LTDA,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
COPOBRAS S/A. INDUSTRIA E COMERCIO DE EMBALAGENS,ND,ND,ND,ND,Sub-região 15,Marialva
COUROADA COMERCIAL E REPRESENTAÇÃO LTDA,ND,ND,ND,ND,Sub-região 15,Iguaraçu
CPA ARMAZÉNS GERAIS LTDA,ND,ND,ND,ND,Sub-região 15,Sarandi
CURTICOUROS IND COM DE COUROS LTDA,ND,ND,ND,ND,Sub-região 15,Nova Esperança
DIMATEX INDUSTRIA COMERCIO CONFECOES LTDA,ND,ND,ND,ND,Sub-região 15,Paiçandu
DISTRIBUIDORA S. M. LTDA - EPP,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
DOMINUS QUIMICA LTDA,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
DOMINUS QUIMICA LTDA,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
ELLOPRINT EMBALAGENS LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
FERRARI ZAGATTO COMERCIO DE INSUMOS S.A.,ND,ND,ND,ND,Sub-região 15,Marialva
FERRARI ZAGATTO COMERCIO DE INSUMOS S.A.,ND,ND,ND,ND,Sub-região 15,Marialva
FIAÇÃO DE SEDA BRATAC S.A.,ND,ND,ND,ND,Sub-região 15,Nova Esperança
FITAFLEX INDÚSTRIA E COMÉRCIO LTDA,ND,ND,ND,ND,Sub-região 15,Mandaguari
FLEXOPRINT ETIQUETAS LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
FOR BROTHERS - EMPREENDIMENTOS IMOBILIARIOS LTDA,ND,ND,ND,ND,Sub-região 16,Cambira
FORMIGONI ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 15,Mandaguaçu
FORQUIMICA AGROCIENCIA LTDA,ND,ND,ND,ND,Sub-região 16,Cambira
FORTGREEN COMERCIAL AGRICOLA LTDA,ND,ND,ND,ND,Sub-região 15,Paiçandu
FRANGO PARANÁ LTDA,ND,ND,ND,ND,Sub-região 15,Mandaguari
FRAVI INDÚSTRIA E COM. DE EQUIPAMENTOS AGRÍCOLAS LTDA.,ND,ND,ND,ND,Sub-região 15,Marialva
FRIGORÍFICO BIG BOI LTDA,ND,ND,ND,ND,Sub-região 15,Paiçandu
FRIGORÍFICO BIG BOI LTDA.,ND,ND,ND,ND,Sub-região 15,Paiçandu
FRIGORIFICO CENTRO OESTE,ND,ND,ND,ND,Sub-região 15,Paiçandu
FRIGORÍFICO MERCOSUL S.A.,ND,ND,ND,ND,Sub-região 15,Paiçandu
FUJIMURA DO BRASIL S/A INDUSTRIA DE SEDA,ND,ND,ND,ND,Sub-região 15,Nova Esperança
H PHARM INDUSTRIA DE MEDICAMENTOS VETERINARIOS LTDA,ND,ND,ND,ND,Sub-região 15,Paiçandu
HIDROBRASIL SOLUCOES AMBIENTAIS LTDA,ND,ND,ND,ND,Sub-região 15,Mandaguari
INCOPLAST EMBALAGENS LTDA,ND,ND,ND,ND,Sub-região 15,Marialva
INDUBRASIL-COM. DE INGR. P/ RACAO ANIMAL E MOAGEM DE FARINHA DE CARNE,ND,ND,ND,ND,Sub-região 15,Presidente Castelo Branco
INDUSTRIA E COMERCIO DE TORREFAÇÃO DE CAFÉ JANDAIA LTDA,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
INDUSTRIA MISSIATO DE BEBIDAS LTDA.,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
J H INDUSTRIA DE FARINHA DE OSSO - EIRELI,ND,ND,ND,ND,Sub-região 15,Floresta
JAGUAFRANGOS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 15,Santa Fé
JANBONES IND. COM. EXP. E IMP. DE BONES E CONFECCOES LTDA EPP,ND,ND,ND,ND,Sub-região 16,Jandaia do Sul
LATICINIO SIMIONATO LTDA,ND,ND,ND,ND,Sub-região 15,Nova Esperança
LATICINIOS FLORIDA LTDA,ND,ND,ND,ND,,Flórida
