Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade
FIAÇÃO DE SEDA BRATAC S/A,ND,ND,ND,ND,Sub-região 17,Londrina
FITASA EMBALAGENS PLÁSTICAS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
FRIESP FOODS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
FRIGORIFICO RAINHA DA PAZ LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
FUNDAÇÃO DE APOIO À PESQUISA E AO DESENVOLVIMENTO DO AGRONEGÓCIO,ND,ND,ND,ND,Sub-região 17,Londrina
G N B INDÚSTRIA DE BATERIAS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
GEO ENERGETICA PARTICIPACOES S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
GERDAU ACOMINAS S/A,ND,ND,ND,ND,Sub-região 17,Londrina
GERDAU ACOS LONGOS S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
GERDAU COMERCIAL DE ACOS S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
GERDAU S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
GLOBAL TELECOM S/A,ND,ND,ND,ND,Sub-região 17,Londrina
GRAFFTEX INDUSTRIA E COMERCIO DE TINTAS E REVESTIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
GREIF EMBALAGENS INDUSTRIAIS DO BRASIL LTDA.,ND,ND,ND,ND,Sub-região 17,Londrina
"GTECH INDUSTRIA, COMERCIO E INSTALACAO DE EQUIPAMENTOS PARA CONTROLE DE AR LTDA",ND,ND,ND,ND,Sub-região 17,Londrina
HACHIMITSU ATELIER DE DELICIAS LTDA EPP,ND,ND,ND,ND,Sub-região 17,Londrina
HAYONIK INDUSTRIA E COMERCIO DE PRODUTOS ELETRONICOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
HYDRONLUBZ INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
INBEB - INDUSTRIAL NORTE PARANAENSE DE BEBIDAS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
IND COM DIST DE CARNES N SRA DA PAZ LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
